order_id,customer_id,product_id,product,category,quantity,unit_price,discount,gross_sales,sales,product_cost,shipping_cost,total_cost,profit,returns,return_reason,payment_method,payment_status,customer_type,customer_value,warehouse,city,state,region,order_date,delivery_date,delivery_days,shipping_mode,delivery_status,rating,review_count
ORD018248,CUST01600,P-FOO-118,Running Shoes,Footwear,2,4122.05,1244.86,8244.1,6999.24,6150.1,105.52,6255.62,743.62,No,,UPI,Paid,Returning,Regular,WH-HYD,Hyderabad,Telangana,South,12-12-2025,18-12-2025,6,Standard,Delivered,,0
ORD004045,CUST03059,P-FOO-262,Casual Sneakers,Footwear,1,2473.25,0,2473.25,0,0,0,0,0,No,,Net Banking,Refunded,New,Regular,WH-KOL,Kolkata,West Bengal,East,20-06-2024,,,Express,Cancelled,,0
ORD006398,CUST06517,P-TOY-977,Puzzle Set,Toys & Games,2,1556.47,516.75,3112.94,2596.19,2129.25,186.78,2316.03,280.16,No,,Credit Card,Paid,New,Premium,WH-SUR,Surat,Gujarat,West,11-12-2025,14-12-2025,3,Express,Delivered,4,1
ORD013217,CUST02082,P-FOO-782,Sports Sandals,Footwear,4,2521.14,0,10084.56,10084.56,5072.53,81.79,5154.32,4930.24,No,,CREDIT CARD,Paid,New,Budget,WH-KOC,Kochi,Kerala,South,30-04-2023,03-05-2023,3,Standard,Delivered,,0
ORD013893,CUST04519,P-CLO-368,Denim Jeans,Clothing,1,2288.16,0,2288.16,2288.16,1128.06,65.53,1193.59,1094.57,No,,UPI,Paid,Returning,Regular,WH-NAG,Nagpur,Maharashtra,West,25-12-2024,30-12-2024,5,Standard,Delivered,,0
ORD013041,CUST07533,P-ELE-205,Digital Camera,Electronics,2,56193.32,0,112386.64,112386.64,65409.02,48.5,65457.52,46929.12,No,,Debit Card,Paid,Returning,Budget,WH-KAR,Karimnagar,Telangana,South,02-01-2025,05-01-2025,3,Standard,Delivered,,0
ORD011479,CUST00311,P-FOO-469,Women's Heels,Footwear,4,3202.86,1114.6,12811.44,11696.84,6239.17,239.79,6478.96,5217.88,No,,Debit Card,Paid,Returning,Regular,WH-PAT,Patna,Bihar,East,25-04-2023,27-04-2023,2,Express,Delivered,,0
ORD014471,CUST03265,P-GRO-113,Cooking Oil 1L,grocery,1,1035.46,0,1035.46,1035.46,645.09,95.67,740.76,294.7,No,,Debit Card,Paid,Returning,Regular,WH-COI,Coimbatore,Tamil Nadu,South,24-11-2023,29-11-2023,5,Standard,Delivered,,0
ORD023239,CUST02474,P-ELE-718,Home Theatre System,Electronics,1,44752.97,0,44752.97,44752.97,21973.71,187.04,22160.75,22592.22,No,,Cash on Delivery,Paid,New,Premium,WH-JAI,Jaipur,Rajasthan,North,08-10-2024,11-10-2024,3,Express,Delivered,,0
ORD007326,CUST04522,P-FUR-683,Study Table,Furniture,4,33597.57,3628.54,134390.28,130761.74,91385.39,84.18,91469.57,39292.17,No,,Debit Card,Paid,Returning,Premium,WH-GUR,Gurugram,Haryana,North,30-05-2024,05-06-2024,6,Standard,Delivered,3,1
ORD019328,CUST08779,P-TOY-154,Building Blocks Set,Toys & Games,3,2557.58,1818.44,7672.74,5854.3,4296.73,91.25,4387.98,1466.32,No,,Cash on Delivery,Paid,New,Regular,WH-NOI,Noida,Uttar Pradesh,North,07-11-2024,12-11-2024,5,Standard,Delivered,4,1
ORD008610,CUST07796,P-SPO-463,Football,Sports & Fitness,2,3416.01,368.93,6832.02,6463.09,4229.02,103.2,4332.22,2130.87,No,,Credit Card,Paid,Returning,Premium,WH-VIJ,Vijayawada,Andhra Pradesh,South,18-11-2024,23-11-2024,5,Standard,Delivered,4,1
ORD019513,CUST06620,P-HOM-758,Air Fryer,Home & Kitchen,1,10820.08,0,10820.08,10820.08,5767.1,135.31,5902.41,4917.67,No,,Wallet,Paid,New,Regular,WH-NAG,Nagpur,Maharashtra,West,05-12-2023,07-12-2023,2,Express,Delivered,,0
ORD022300,CUST08824,P-FUR-654,Wardrobe,Furniture,1,43404.08,0,43404.08,43404.08,22613.53,287.49,22901.02,20503.06,No,,Credit Card,Paid,Returning,Budget,WH-VIS,Visakhapatnam,Andhra Pradesh,South,08-06-2024,10-06-2024,2,Express,Delivered,5,1
ORD008326,CUST05440,P-FUR-188,Study Table,Furniture,5,42138.89,16434.17,210694.45,194260.28,122624.17,77.42,122701.59,71558.69,No,,Cash on Delivery,Paid,Returning,Budget,WH-NAG,Nagpur,Maharashtra,West,21-09-2023,28-09-2023,7,Standard,Delivered,,0
ORD015872,CUST08654,P-GRO-897,Dry Fruits Box,Grocery,2,973,42.81,1946,1903.19,1290.2,53.56,1343.76,559.43,No,,Debit Card,Paid,Returning,Regular,WH-CHE,Chennai,Tamil Nadu,South,09-02-2024,16-02-2024,7,Standard,Delivered,,0
ORD001680,CUST08872,P-BOO-228,Children's Story Book,Books,1,1067.08,212.35,1067.08,854.73,673.33,127.68,801.01,53.72,No,,Net Banking,Paid,New,Regular,WH-MUM,Mumbai,Maharashtra,West,23-12-2024,26-12-2024,3,Express,Delivered,,0
ORD022453,CUST03180,P-FOO-632,Casual Sneakers,Footwear,3,3907.42,0,11722.26,11722.26,8158.69,211.34,8370.03,3352.23,No,,Cash on Delivery,Paid,Returning,Premium,WH-PUN,Pune,Maharashtra,West,22-04-2025,23-04-2025,1,Express,Delivered,5,1
ORD008445,CUST08626,P-HOM-165,Pressure Cooker,Home & Kitchen,3,14875.61,0,44626.83,44626.83,25080.28,101.59,25181.87,19444.96,No,,UPI,Paid,Returning,Regular,WH-LUC,Lucknow,Uttar Pradesh,North,12-09-2024,15-09-2024,3,Express,Delivered,5,1
ORD010769,CUST00129,P-BEA-942,Sunscreen Lotion,Beauty & Personal Care,1,121.66,16.67,121.66,104.99,86.74,55.55,142.29,-37.3,No,,Net Banking,Paid,Returning,Premium,WH-BEN,Bengaluru,Karnataka,South,09-07-2024,12-07-2024,3,Standard,Delivered,5,1
ORD001131,CUST08723,P-CLO-114,Track Pants,Clothing,1,2703.05,205.43,2703.05,2497.62,1913.76,248.74,2162.5,335.12,No,,Cash On Delivery ,Paid,Returning,Regular,WH-VIJ,Vijayawada,Andhra Pradesh,South,15-01-2023,18-01-2023,3,Express,Delivered,,0
ORD004212,CUST08265,P-ELE-200,LED TV,Electronics,1,9000.96,0,9000.96,9000.96,4689.5,51.01,4740.51,4260.45,No,,UPI,Paid,Returning,Regular,WH-MUM,Mumbai,Maharashtra,West,29-03-2024,02-04-2024,4,Standard,Delivered,,0
ORD002152,CUST07947,P-GRO-372,Spices Combo Pack,Grocery,3,1964.47,0,5893.41,0,0,0,0,0,Yes,Quality Not Satisfactory,Debit Card,Refunded,New,Regular,WH-GUR,Gurugram,Haryana,North,23-12-2023,29-12-2023,6,Standard,Returned,2,1
ORD010343,CUST02823,P-HOM-101,Pressure Cooker,Home & Kitchen,1,7316.84,387.79,7316.84,6929.05,4873.02,241.73,5114.75,1814.3,No,,UPI,Paid,New,Regular,WH-CHE,Chennai,Tamil Nadu,South,26-12-2025,27-12-2025,1,Same-Day,Delivered,,0
ORD013914,CUST06316,P-BOO-143,Fiction Novel,Books ,3,725.57,0,2176.71,0,0,0,0,0,Yes,Not as Described,wallet,Refunded,New,Premium,WH-KAR,Karimnagar,Telangana,South,13-07-2023,15-07-2023,2,Express,Returned,2,1
ORD010266,CUST00504,P-HOM-319,Vacuum Cleaner,Home & Kitchen,1,11200.93,1736.14,11200.93,9464.79,5533.26,322.43,5855.69,3609.1,No,,Debit Card,Paid,New,Premium,WH-BHU,Bhubaneswar,Odisha,East,08-01-2023,08-01-2023,0,Same-Day,Delivered,,0
ORD009105,CUST04768,P-BOO-290,Cookbook,Books,3,658.64,0,1975.92,1975.92,889.16,117.3,1006.46,969.46,No,,UPI,Paid,New,Regular,WH-JAI,Jaipur,Rajasthan,North,21-09-2024,27-09-2024,6,Standard,Delivered,4,1
ORD016818,CUST06334,P-BOO-636,Self-Help Book,Books,4,676.17,457.09,2704.68,2247.59,2004.17,216.72,2220.89,26.7,No,,Cash on Delivery,Paid,New,Premium,WH-COI,Coimbatore,Tamil Nadu,South,11-12-2024,13-12-2024,2,Express,Delivered,,0
ORD006180,CUST05934,P-FUR-475,Sofa Set,Furniture,3,26120.68,12537.93,78362.04,0,0,0,0,0,Yes,Better Price Available,UPI,Refunded,Returning,Budget,WH-AHM,Ahmedabad,Gujarat,West,01-03-2024,02-03-2024,1,Same-Day,Returned,,0
ORD023149,CUST03377,P-GRO-444,Organic Honey,Grocery,1,1578.17,0,1578.17,1578.17,721.22,45.34,766.56,811.61,No,,Cash on Delivery,Paid,New,Premium,WH-CHA,Chandigarh,Punjab,North,10-10-2023,13-10-2023,3,Standard,Delivered,,0
ORD003505,CUST05407,P-CLO-359,Track Pants,Clothing,1,305.3,11.6,305.3,293.7,190.51,174.23,364.74,-71.04,No,,Cash on Delivery,Paid,New,Budget,WH-GUR,Gurugram,Haryana,North,19-04-2024,21-04-2024,2,Express,Delivered,5,1
ORD021335,CUST00812,P-BOO-109,Biography,Books,1,506.69,0,506.69,506.69,310.09,91.78,401.87,104.82,No,,UPI,Paid,New,Premium,WH-PUN,Pune,Maharashtra,West,08-08-2025,15-08-2025,7,Standard,Delivered,4,1
ORD003820,CUST06206,P-ELE-823,Laptop,Electronics,3,21182.77,0,63548.31,63548.31,45055.75,51.22,45106.97,18441.34,No,,Debit Card,Paid,New,Premium,WH-PUN,Pune,Maharashtra,West,05-09-2024,12-09-2024,7,Standard,Delivered,4,1
ORD022402,CUST05709,P-FOO-813,Flip Flops,Footwear,1,347.05,0,347.05,347.05,219.68,45.94,265.62,81.43,No,,Cash on Delivery,Paid,Returning,Budget,WH-PAT,Patna,Bihar,East,14-09-2025,19-09-2025,5,Standard,Delivered,4,1
ORD012123,CUST02629,P-GRO-637,Dry Fruits Box,Grocery,3,323.76,0,971.28,971.28,485.64,57.61,543.25,428.03,No,,Debit Card,Paid,New,Premium,WH-KOC,Kochi,Kerala,South,16-01-2024,20-01-2024,4,Standard,Delivered,,0
ORD023184,CUST00740,P-SPO-483,Dumbbell Set,SPORTS & FITNESS,1,8693.79,365.14,8693.79,8328.65,4346.9,61.79,4408.69,3919.96,No,,Credit Card,Paid,New,Regular,WH-NAG,Nagpur,Maharashtra,West,27-11-2024,02-12-2024,5,Standard,Delivered,4,1
ORD019153,CUST08618,P-GRO-516,Organic Honey,Grocery ,3,363.92,149.57,1091.76,942.19,597.19,218.81,816,126.19,No,,Credit Card,Paid,Returning,Budget,WH-DEL,Delhi,Delhi,North,20-06-2025,21-06-2025,1,Express,Delivered,4,1
ORD020036,CUST06502,P-HOM-117,Pressure Cooker,Home and Kitchen,1,13771.87,0,13771.87,0,0,0,0,0,Yes,Wrong Item Delivered,Cash on Delivery,Refunded,New,Premium,WH-GUR,Gurugram,Haryana,North,07-10-2023,12-10-2023,5,Standard,Returned,,0
ORD019806,CUST04107,P-SPO-281,Badminton Racket,Sports & Fitness,2,2436.35,0,4872.7,4872.7,2894.38,63.63,2958.01,1914.69,No,,Net Banking,Paid,New,Budget,WH-AHM,Ahmedabad,Gujarat,West,13-01-2023,17-01-2023,4,Standard,Delivered,5,1
ORD017964,CUST00243,P-GRO-882,Cooking Oil 1L,Grocery,2,540.36,0,1080.72,0,0,0,0,0,No,,Wallet,Refunded,New,Regular,WH-AHM,Ahmedabad,Gujarat,West,29-03-2025,,,Standard,Cancelled,,0
ORD011547,CUST04538,P-SPO-989,Football,Sports & Fitness,2,4279.89,0,8559.78,8559.78,4348.37,40.29,4388.66,4171.12,No,,Cash on Delivery,Paid,Returning,Budget,WH-CHA,Chandigarh,Punjab,North,18-04-2024,23-04-2024,5,Standard,Delivered,4,1
ORD017024,CUST02100,P-SPO-740,Badminton Racket,Sports & Fitness,2,5881.98,0,11763.96,11763.96,6940.74,173.8,7114.54,4649.42,No,,Cash on Delivery,Paid,New,Regular,WH-JAI,Jaipur,Rajasthan,North,28-01-2025,30-01-2025,2,Express,Delivered,5,1
ORD004329,CUST06716,P-FOO-760,Running Shoes,Footwear,1,4218.39,274.2,4218.39,3944.19,1927.8,78.66,2006.46,1937.73,No,,credit card,Paid,New,Premium,WH-NOI,Noida,Uttar Pradesh,North,23-07-2025,28-07-2025,5,Standard,Delivered,5,1
ORD006448,CUST07738,P-GRO-498,Cooking Oil 1L,Grocery,4,1351.69,0,5406.76,5406.76,2714.19,77.13,2791.32,2615.44,No,,Cash on Delivery,Paid,Returning,Regular,WH-GUW,Guwahati,Assam,North-East,17-12-2025,24-12-2025,7,Standard,Delivered,5,1
ORD016828,CUST08493,P-ELE-851,Wireless Earbuds,Electronics,3,35817.71,0,107453.13,107453.13,56090.53,91.73,56182.26,51270.87,No,,UPI,Paid,Returning,Regular,WH-LUC,Lucknow,Uttar Pradesh,North,17-09-2024,23-09-2024,6,Standard,Delivered,,0
ORD019318,CUST02191,P-CLO-778,Winter Jacket,Clothing,1,760.38,107.21,760.38,653.17,364.22,117.62,481.84,171.33,No,,Wallet,Paid,Returning,Regular,WH-COI,Coimbatore,Tamil Nadu,South,31-12-2023,05-01-2024,5,Standard,Delivered,,0
ORD012994,CUST05363,P-BEA-696,Hair Dryer,Beauty & Personal Care,2,2773.03,510.24,5546.06,5035.82,3078.06,44.52,3122.58,1913.24,No,, Credit Card,Paid,Returning,Regular,WH-BEN,Bengaluru,Karnataka,South,02-08-2024,06-08-2024,4,Standard,Delivered,4,1
ORD015955,CUST08457,P-SPO-751,Football,Sports & Fitness,1,9454.36,0,9454.36,9454.36,5729.34,111.01,5840.35,3614.01,No,,Debit Card,Paid,Returning,Budget,WH-BEN,Bengaluru,Karnataka,South,27-12-2024,03-01-2025,7,Standard,Delivered,4,1
ORD000825,CUST02012,P-BOO-842,Children's Story Book,BOOKS,1,630.8,141.3,630.8,489.5,302.15,171.41,473.56,15.94,No,,UPI,Paid,Returning,Budget,WH-GUR,Gurugram,Haryana,North,13-07-2024,15-07-2024,2,Express,Delivered,,0
ORD007604,CUST05398,P-FUR-945,Wardrobe,Furniture,2,18857.57,1470.89,37715.14,36244.25,17763.83,135.69,17899.52,18344.73,No,,Credit Card,Paid,New,Premium,WH-PUN,Pune,Maharashtra,West,21-08-2023,26-08-2023,5,Standard,Delivered,5,1
ORD018042,CUST00735,P-GRO-928,Organic Honey,GROCERY,1,207.58,0,207.58,207.58,117.91,112.74,230.65,-23.07,No,, Wallet,Paid,New,Regular,WH-JAI,Jaipur,Rajasthan,North,26-09-2024,28-09-2024,2,Express,Delivered,4,1
ORD016126,CUST07828,P-FUR-312,Wooden Bookshelf,Furniture ,3,1503.94,0,4511.82,4511.82,2865.01,216.07,3081.08,1430.74,No,,UPI,Paid,Returning,Budget,WH-DEL,Delhi,Delhi,North,18-01-2025,24-01-2025,6,Standard,Delivered,,0
ORD004244,CUST08690,P-HOM-482,Dinner Set,Home & Kitchen,3,8751.54,0,26254.62,26254.62,13599.89,110.58,13710.47,12544.15,No,,Wallet,Paid,Returning,Premium,WH-DEL,Delhi,Delhi,North,05-11-2024,08-11-2024,3,Standard,Delivered,5,1
ORD007371,CUST02461,P-SPO-599,Yoga Mat,Sports & Fitness,1,9412,451.78,9412,0,0,0,0,0,No,,Wallet,Refunded,Returning,Regular,WH-PUN,Pune,Maharashtra,West,25-01-2024,,,Express,Cancelled,,0
ORD000194,CUST05448,P-HOM-460,Non-Stick Cookware Set,Home & Kitchen,3,2828.87,1154.18,8486.61,7332.43,4752.5,45.45,4797.95,2534.48,No,,Wallet,Paid,New,Budget,WH-GUR,Gurugram,Haryana,North,25-12-2023,30-12-2023,5,Standard,Delivered,2,1
ORD017208,CUST08416,P-FOO-909,Running Shoes,Footwear,2,5515.33,1621.51,11030.66,0,0,0,0,0,No,,Net Banking,Refunded,Returning,Budget,WH-VIJ,Vijayawada,Andhra Pradesh,South,14-10-2023,,,Standard,Cancelled,,0
ORD000928,CUST04987,P-SPO-108,Cricket Bat,Sports & Fitness,2,3467,852.88,6934,6081.12,3980.12,98.62,4078.74,2002.38,No,,Net Banking,Paid,Returning,Premium,WH-NAG,Nagpur,Maharashtra,West,16-12-2025,19-12-2025,3,Standard,Delivered,5,1
ORD006780,CUST04394,P-GRO-870,Spices Combo Pack,Grocery,5,1779.46,0,8897.3,8897.3,6343.77,382.25,6726.02,2171.28,No,,Cash on Delivery,Paid,Returning,Premium,WH-IND,Indore,Madhya Pradesh,Central,16-03-2024,17-03-2024,1,Same-Day,Delivered,,0
ORD016877,CUST01932,P-SPO-140,Cycling Helmet,Sports & Fitness,2,2586.51,206.92,5173.02,4966.1,2379.59,174.85,2554.44,2411.66,No,,Net Banking,Paid,New,Regular,WH-MUM,Mumbai,Maharashtra,West,31-03-2023,03-04-2023,3,Express,Delivered,4,1
ORD005249,CUST03082,P-ELE-428,Wireless Earbuds,Electronics,2,11626.6,651.09,23253.2,0,0,0,0,0,No,,UPI,Refunded,Returning,Budget,WH-CHE,Chennai,Tamil Nadu,South,13-04-2023,,,Standard,Cancelled,,0
ORD006339,CUST01122,P-BOO-800,Competitive Exam Guide,Books,3,285.43,118.17,856.29,738.12,406.74,101.6,508.34,229.78,No,,Cash on Delivery,Paid,New,Budget,WH-JAI,Jaipur,Rajasthan,North,17-03-2024,18-03-2024,1,Express,Delivered,4,1
ORD007169,CUST00540,P-GRO-953,Basmati Rice 5kg,Grocery,2,224.81,0,449.62,449.62,229.76,209,438.76,10.86,No,,Wallet,Paid,New,Regular,WH-IND,Indore,Madhya Pradesh,Central,23-11-2025,25-11-2025,2,Express,Delivered,3,1
ORD002955,CUST08747,P-FUR-861,Study Table,Furniture,1,16232.17,0,16232.17,16232.17,10307.43,181.81,10489.24,5742.93,No,,Cash on Delivery,Paid,New,Budget,WH-KOL,Kolkata,West Bengal,East,15-06-2025,20-06-2025,5,Standard,Delivered,5,1
ORD011948,CUST06388,P-HOM-993,Air Fryer,Home & Kitchen,2,5642.32,0,11284.64,11284.64,5698.74,152.49,5851.23,5433.41,No,,Credit Card,Paid,New,Budget,WH-GUW,Guwahati,Assam,North-East,25-10-2024,28-10-2024,3,Express,Delivered,,0
ORD016695,CUST08114,P-ELE-669,Router,Electronics,2,32860.57,7295.05,65721.14,58426.09,38906.91,96.87,39003.78,19422.31,No,,Debit Card,Paid,New,Budget,WH-DEL,Delhi,Delhi,North,12-06-2025,16-06-2025,4,Standard,Delivered,5,1
ORD017822,CUST04656,P-ELE-450,Smartwatch,Electronics,3,39864.08,14351.07,119592.24,105241.17,77376.18,110.7,77486.88,27754.29,No,,COD,Paid,Returning,Budget,WH-LUC,Lucknow,Uttar Pradesh,North,03-01-2024,06-01-2024,3,Express,Delivered,5,1
ORD005527,CUST06371,P-GRO-130,Spices Combo Pack,Grocery,1,687.34,0,687.34,687.34,448.83,40.06,488.89,198.45,No,,Credit Card,Paid,New,Regular,WH-LUC,Lucknow,Uttar Pradesh,North,26-07-2024,30-07-2024,4,Standard,Delivered,,0
ORD008553,CUST05962,P-HOM-528,Vacuum Cleaner,Home and Kitchen,1,4065.13,0,4065.13,4065.13,2792.74,140.42,2933.16,1131.97,No,,Credit Card,Paid,New,Regular,WH-IND,Indore,Madhya Pradesh,Central,27-07-2023,29-07-2023,2,Express,Delivered,,0
ORD014672,CUST02047,P-HOM-953,Mixer Grinder,Home & Kitchen,1,5082.05,991,5082.05,4091.05,3262.68,74.74,3337.42,753.63,No,,Debit Card,Paid,New,Regular,WH-BHO,Bhopal,Madhya Pradesh,Central,22-08-2024,29-08-2024,7,Standard,Delivered,3,1
ORD020545,CUST00083,P-ELE-332,Router,Electronics ,2,22581.49,0,45162.98,0,0,0,0,0,No,,NetBanking,Refunded,New,Regular,WH-PAT,Patna,Bihar,East,05-04-2025,,,Same-Day,Cancelled,,0
ORD013190,CUST04777,P-SPO-365,Football,Sports & Fitness,1,2305.68,191.37,2305.68,2114.31,1141.31,46.88,1188.19,926.12,No,,Debit Card,Paid,New,Regular,WH-BHU,Bhubaneswar,Odisha,East,26-12-2023,30-12-2023,4,Standard,Delivered,3,1
ORD023742,CUST06640,P-GRO-114,Dry Fruits Box,Grocery,5,392.72,267.05,1963.6,1696.55,1176.2,238.3,1414.5,282.05,No,,debit card,Paid,New,Regular,WH-BEN,Bengaluru,Karnataka,South,05-02-2024,05-02-2024,0,Same-Day,Delivered,3,1
ORD012658,CUST08540,P-FUR-345,Bed Frame,Furniture,3,20758.13,0,62274.39,62274.39,32507.23,306.8,32814.03,29460.36,No,,UPI,Paid,New,Premium,WH-BHU,Bhubaneswar,Odisha,East,31-01-2024,02-02-2024,2,Express,Delivered,5,1
ORD017770,CUST06015,P-FUR-191,Study Table,Furniture,4,44422.5,0,177690,177690,129180.63,369.74,129550.37,48139.63,No,,Wallet,Paid,New,Budget,WH-VIS,Visakhapatnam,Andhra Pradesh,South,22-09-2025,24-09-2025,2,Express,Delivered,5,1
ORD019085,CUST00814,P-CLO-148,Men's T-Shirt,Clothing,1,2804.7,687.15,2804.7,2117.55,1601.48,57.46,1658.94,458.61,No,,Wallet,Paid,New,Budget,WH-JAI,Jaipur,Rajasthan,North,30-01-2025,03-02-2025,4,Standard,Delivered,4,1
ORD012209,CUST03005,P-TOY-392,Puzzle Set,TOYS & GAMES,1,3840.01,0,3840.01,3840.01,2711.05,84.9,2795.95,1044.06,No,,Debit Card,Paid,Returning,Premium,WH-NOI,Noida,Uttar Pradesh,North,30-05-2025,05-06-2025,6,Standard,Delivered,3,1
ORD020980,CUST07127,P-HOM-748,Pressure Cooker,Home & Kitchen,1,572.72,0,572.72,572.72,300.11,104.07,404.18,168.54,No,,Cash on Delivery,Paid,New,Regular,WH-CHA,Chandigarh,Punjab,North,08-07-2024,14-07-2024,6,Standard,Delivered,5,1
ORD015066,CUST05663,P-FOO-987,Formal Leather Shoes,Footwear,6,1236.9,0,7421.4,7421.4,4593.85,112.88,4706.73,2714.67,No,,DEBIT CARD,Paid,New,Premium,WH-BHO,Bhopal,Madhya Pradesh,Central,22-09-2023,29-09-2023,7,Standard,Delivered,4,1
ORD023077,CUST05286,P-BOO-909,Cookbook,Books,1,1129.84,0,1129.84,0,0,0,0,0,Yes,Not as Described,COD,Refunded,Returning,Regular,WH-BHO,Bhopal,Madhya Pradesh,Central,29-08-2023,04-09-2023,6,Standard,Returned,1,1
ORD009746,CUST06943,P-ELE-217,Digital Camera,Electronics,4,2227.59,276.22,8910.36,8634.14,4963.07,109.23,5072.3,3561.84,No,,Debit Card,Paid,Returning,Budget,WH-SUR,Surat,Gujarat,West,19-09-2025,21-09-2025,2,Express,Delivered,,0
ORD002475,CUST05799,P-FUR-241,Study Table,Furniture,2,41091.54,0,82183.08,82183.08,58185.62,142.19,58327.81,23855.27,No,,Cash on Delivery,Paid,Returning,Budget,WH-SUR,Surat,Gujarat,West,23-02-2024,29-02-2024,6,Standard,Delivered,4,1
ORD020901,CUST00870,P-TOY-387,Action Figure,Toys & Games,2,615.02,292.75,1230.04,937.29,675.29,42.56,717.85,219.44,No,,Wallet,Paid,New,Regular,WH-KOC,Kochi,Kerala,South,03-03-2024,06-03-2024,3,Standard,Delivered,5,1
ORD006194,CUST01852,P-FOO-190,Women's Heels,Footwear,4,3819.03,3742.65,15276.12,11533.47,11121.02,164.05,11285.07,248.4,No,,Debit card,Paid,New,Budget,WH-CHE,Chennai,Tamil Nadu,South,29-06-2023,01-07-2023,2,Express,Delivered,3,1
ORD003392,CUST05027,P-CLO-123,Women's Kurti,Clothing,1,2197.37,294.45,2197.37,1902.92,1579.91,68.76,1648.67,254.25,No,,Wallet,Paid,New,Budget,WH-VIJ,Vijayawada,Andhra Pradesh,South,03-08-2023,07-08-2023,4,Standard,Delivered,5,1
ORD023550,CUST03752,P-SPO-343,Cycling Helmet,Sports & Fitness,2,684.21,172.42,1368.42,0,0,0,0,0,No,,Credit Card,Refunded,Returning,Budget,WH-MUM,Mumbai,Maharashtra,West,02-10-2023,,,Standard,Cancelled,,0
ORD024087,CUST08383,P-HOM-729,Pressure Cooker,Home & Kitchen,6,3289.42,0,19736.52,0,0,0,0,0,Yes,Changed Mind,wallet,Refunded,Returning,Budget,WH-CHE,Chennai,Tamil Nadu,South,21-06-2023,25-06-2023,4,Standard,Returned,1,1
ORD003763,CUST01877,P-TOY-845,Building Blocks Set,Toys & Games,1,3176.4,0,3176.4,3176.4,2363.24,112.09,2475.33,701.07,No,,Wallet,Paid,Returning,Premium,WH-VIS,Visakhapatnam,Andhra Pradesh,South,01-02-2024,05-02-2024,4,Standard,Delivered,4,1
